染色		{'dyeing':1.0}	{'dyeing': 3684}	dyeing
抗菌	{'抗菌':0.80857,'抗菌性':0.08954,'抗菌性能':0.03867,'抑菌':0.03225,'抗菌整理':0.00942,'抗菌剂':0.004,'抗生素':0.00381,'抑菌性':0.00292,'抗菌效果':0.00234,'抗菌活性':0.00222,'抑菌性能':0.0017,'抑菌活性':0.00159,'抑菌效果':0.00156,'抑菌率':0.00127,'抗微生物整理':0.00014}	{'antibacterial':0.66286,'anti-bacterial':0.08571,'antimicrobial':0.06,'anti-bacteria':0.03429,'antibacterial property':0.02286,'antibiosis':0.02,'antibacterial activity':0.01429,'antibacteria':0.01143,'antibacterium':0.01143,'antibiotic':0.01143,'anti-microbial':0.00857,'antibacterial effect':0.00857,'antibacterial properties':0.00857,'bacteriostasis':0.00571,'anti bacterial':0.00571,'antibacterial activities':0.00571,'antisepsis':0.00571,'antibacterial action':0.00571,'antibacterial performance':0.00571,'antibacterial finishing':0.00571}	{'antibacterial': 1330, 'antibacterial properties': 1274, 'antibacterial activity': 1024, 'antimicrobial': 625, 'antibacterial property': 186, 'antibiotic': 91, 'anti-bacterial': 81, 'antibacterial performance': 66, 'anti-bacteria': 48, 'anti-microbial': 48, 'antibacterial activities': 41, 'antibacterial effect': 39, 'antibacterial finishing': 35, 'antibacterial action': 32, 'antibacteria': 19, 'bacteriostasis': 14, 'antibiosis': 5, 'antisepsis': 3, 'antibacterium': 0, 'anti bacterial': 0}	antibacterial
天然染料	{'天然染料':0.97592,'植物染料':0.02408}	{'natural dyes':0.48169,'natural dye':0.46197,'natural dyestuff':0.04507,'nature dye':0.01127}	{'natural dye': 586, 'natural dyes': 204, 'natural dyestuff': 10, 'nature dye': 0}	natural dye
整理	{'整理':0.702,'后整理':0.25586,'处理':0.02238,'整理剂':0.01287,'织物整理':0.00689}	{'finishing':0.62216,'finish':0.32955,'treatment':0.03693,'<keyword>finish':0.00568,'finish process':0.00568}	{'finishing': 790, 'treatment': 61, 'finish': 14, '<keyword>finish': 0, 'finish process': 0}	finishing
纤维	{'纤维':0.99434,'纤维材料':0.00566}	{'fiber':0.79202,'fibre':0.1453,'fibers':0.06268}	{'fibers': 8861, 'fiber': 651, 'fibre': 142}	fibre
舒适性	{'舒适性':0.88642,'舒适':0.0304,'舒适性能':0.02721,'舒适度':0.02402,'舒适感':0.01068,'服装舒适性':0.00748,'压力舒适性':0.00552,'穿着舒适性':0.00546,'着装舒适性':0.00137,'服用舒适性':0.00126,'压感舒适性':0.00018}	{'comfort':0.60588,'comfortability':0.15882,'comfort property':0.06471,'comfortableness':0.04706,'comfortable':0.02353,'comfortable property':0.02059,'comfort performance':0.01471,'wearing comfort':0.00882,'comfortablity':0.00882,'comfort properties':0.00882,'clothing comfort':0.00882,'comfortbility':0.00588,'comfortable performance':0.00588,'comfort ability':0.00588,'pressure comfort':0.00588,'amenity':0.00588}	{'comfort': 579, 'comfort properties': 275, 'clothing comfort': 89, 'comfort performance': 36, 'comfortability': 28, 'wearing comfort': 18, 'pressure comfort': 16, 'comfort property': 8, 'comfortable': 4, 'comfortableness': 0, 'comfortable property': 0, 'comfortablity': 0, 'comfortbility': 0, 'comfortable performance': 0, 'comfort ability': 0, 'amenity': 0}	comfort
服用性能	{'服用性能':0.95132,'服用性':0.02891,'性能':0.01219,'织物服用性能':0.00373,'服装性能':0.00373,'表现':0.00012}	{'wearability':0.65528,'wearing properties':0.0559,'wearing property':0.0528,'wearing performance':0.04037,'wearing characteristics':0.03727,'serviceability':0.02484,'wear ability':0.01863,'taking performance':0.01863,'wear behavior':0.01553,'wearabilities':0.01242,'performance':0.01242,'wearability performance':0.00932,'fabric wearability':0.00932,'wear performance':0.00932,'wear property':0.00932,'wear properties':0.00621,'clothing performance':0.00621,'performance in wear':0.00621}	{'performance': 6936, 'wear properties': 49, 'wearability': 46, 'wear performance': 24, 'wear behavior': 18, 'serviceability': 8, 'wear property': 6, 'wearing property': 5, 'wearing characteristics': 5, 'wearing properties': 0, 'wearing performance': 0, 'wear ability': 0, 'taking performance': 0, 'wearabilities': 0, 'wearability performance': 0, 'fabric wearability': 0, 'clothing performance': 0, 'performance in wear': 0}	wearability
涤纶织物	{'涤纶织物':0.8264,'涤纶':0.10081,'聚酯织物':0.04308,'涤纶面料':0.01278,'PET织物':0.00991,'聚对苯二甲酸乙二酯纤维':0.00236,'聚酯':0.00224,'聚酯纤维':0.00179,'涤纶纤维':0.00063}	{'polyester fabric':0.77477,'pet fabric':0.0991,'polyester fabrics':0.07808,'polyester':0.01502,'pet fabrics':0.01201,'polyester textiles':0.00901,'terylene fabric':0.00601,'polyester fiber':0.00601}	{'polyester': 1297, 'polyester fabric': 535, 'polyester fiber': 275, 'polyester fabrics': 96, 'pet fabrics': 41, 'polyester textiles': 31, 'pet fabric': 29, 'terylene fabric': 0}	polyester fabric
织造	{'织造':0.8651,'机织':0.05007,'编织':0.02414,'针织':0.01535,'组织':0.01419,'织造学':0.01141,'织物组织':0.01032,'组织结构':0.00645,'梭织':0.00218,'针织物':0.00039,'编结':0.0002,'针织学':0.0002}	{'weaving':0.90712,'weave':0.06192,'knitting':0.01858,'woven':0.01238}	{'weaving': 4272, 'knitting': 317, 'weave': 169, 'woven': 75}	weaving
混纺织物	{'混纺织物':0.90325,'混纺交织物':0.04465,'混纺面料':0.03481,'交织织物':0.00761,'混纺产品':0.00605,'交织物':0.00363}	{'blended fabric':0.86774,'blended fabrics':0.05161,'blend fabric':0.02903,'blending fabric':0.00968,'blended textiles':0.00968,'blended products':0.00645,'blended yarn fabric':0.00645,'mixture fabric':0.00645,'blending fabrics':0.00645,'mixed fabric':0.00645}	{'blended fabric': 119, 'blended fabrics': 17, 'blend fabric': 4, 'blending fabric': 0, 'blended textiles': 0, 'blended products': 0, 'blended yarn fabric': 0, 'mixture fabric': 0, 'blending fabrics': 0, 'mixed fabric': 0}	blended fabric
检测	{'检测':0.61203,'测试':0.28285,'测定':0.05202,'检验':0.03133,'试验':0.01227,'测量':0.00804,'措施':0.00146}	{'detection':0.52733,'testing':0.18971,'test':0.14469,'determination':0.06752,'inspection':0.03859,'measurement':0.01608,'detect':0.01608}	{'testing': 1762, 'detection': 1049, 'measurement': 572, 'inspection': 97, 'determination': 32, 'test': 24, 'detect': 3}	detection
喷气织机		{'air-jet loom':0.72549,'air jet loom':0.21242,'air-jet looms':0.02288,'jet loom':0.01961,'air jet looms':0.01961}	{'air-jet loom': 37, 'air-jet looms': 29, 'air jet loom': 10, 'jet loom': 0, 'air jet looms': 0}	air-jet loom;pneumatic jet loom
纳米纤维		{'nanofiber':0.73377,'nanofibers':0.20455,'nano fiber':0.03896,'nano-fiber':0.02273}	{'nanofibers': 6248, 'nanofiber': 1803, 'nano fiber': 13, 'nano-fiber': 0}	nanofiber
印花	{'印花':0.96235,'印制':0.01284,'印刷':0.01284,'纺织品印花':0.00566,'丝网印花':0.00258,'丝网印刷':0.00172,'网版印刷':0.00072,'网印':0.00072,'筛网印花':0.00057}	{'printing':0.9505,'calico printing':0.0165,'textile printing':0.0099,'print':0.0099,'screen printing':0.0066,'<keyword>printing':0.0066}	{'printing': 730, 'screen printing': 320, 'textile printing': 301, 'print': 14, 'calico printing': 0, '<keyword>printing': 0}	printing
纱线	{'纱线':0.96753,'纱':0.01948,'细纱':0.01299}	{'yarn':1.0}	{'yarn': 9930}	yarn
拉伸性能	{'拉伸性能':0.87424,'强伸性能':0.03923,'力学性能':0.02403,'强伸性':0.01531,'拉伸性':0.01191,'拉伸强度':0.01115,'拉伸性质':0.00596,'拉伸行为':0.00449,'断裂强力':0.004,'拉伸强力':0.00379,'拉伸断裂强力':0.00189,'强力':0.00126,'断裂强度':0.00126,'抗拉强度':0.00105,'抗拉强力':0.00042}	{'tensile property':0.64646,'tensile properties':0.25253,'tensile performance':0.0404,'tensile strength':0.02694,'tensile behavior':0.01347,'stretchability':0.01347,'stretch property':0.00673}	{'tensile strength': 7763, 'tensile property': 600, 'tensile properties': 562, 'stretchability': 66, 'tensile behavior': 36, 'tensile performance': 35, 'stretch property': 10}	tensile property
亚麻	{'亚麻':0.9005,'亚麻织物':0.03412,'亚麻纤维':0.03154,'麻':0.01706,'胡麻':0.01623,'胡麻纤维':0.00055}	{'flax':0.68493,'linen':0.30137,'flax fiber':0.0137}	{'flax': 838, 'linen': 691, 'flax fiber': 190}	flax
断裂强力	{'断裂强力':0.66368,'断裂强度':0.27518,'拉伸强度':0.02756,'拉伸强力':0.00934,'强力':0.00884,'拉伸断裂强力':0.00467,'拉伸性能':0.00415,'抗拉强度':0.00259,'强度':0.0011,'抗拉强力':0.00104,'强伸性':0.00104,'断裂比强度':0.00081}	{'breaking strength':0.86014,'tensile strength':0.06643,'breaking force':0.03497,'breaking tenacity':0.01049,'strength':0.00699,'fracture strength':0.00699,'break strength':0.00699,'strength at break':0.00699}	{'tensile strength': 7763, 'strength': 798, 'breaking strength': 435, 'breaking force': 71, 'break strength': 13, 'breaking tenacity': 9, 'fracture strength': 0, 'strength at break': 0}	breaking strength
质量	{'质量':0.9019,'品质':0.0981}	{'quality':1.0}	{'quality': 422}	quality
印染废水	{'印染废水':0.87849,'染色废水':0.0519,'染料废水':0.04768,'印染污水':0.0175,'纺织废水':0.00443}	{'printing and dyeing wastewater':0.33948,'dyeing wastewater':0.25461,'dyeing and finishing wastewater':0.18819,'dyeing and printing wastewater':0.10701,'dye wastewater':0.01845,'dyeing waste water':0.01476,'dyeing/printing wastewater':0.01476,'dyeing and finishing waste water':0.01107,'printing and dyeing waste water':0.01107,'dyeing effluent':0.01107,'textile wastewater':0.00738,'dyeing effluents':0.00738,'dye-house waste water':0.00738,'dyes wastewater':0.00738}	{'textile wastewater': 142, 'dyeing wastewater': 59, 'dye wastewater': 25, 'dyeing effluents': 15, 'printing and dyeing wastewater': 7, 'dyeing and printing wastewater': 5, 'dyeing waste water': 4, 'dyeing effluent': 4, 'dyeing and finishing wastewater': 0, 'dyeing/printing wastewater': 0, 'dyeing and finishing waste water': 0, 'printing and dyeing waste water': 0, 'dye-house waste water': 0, 'dyes wastewater': 0}	printing and dyeing wastewater
面料	{'织物':0.65739,'面料':0.25849,'纺织品':0.02422,'材料':0.02381,'材质':0.01026,'原料':0.0044,'服装面料':0.0044,'服装':0.00422,'衬布':0.00323,'里料':0.00323,'服饰':0.00267,'内衬':0.00129,'贴衬':0.00129,'素材':0.0011}	{'fabric':0.74359,'fabrics':0.10623,'facing material':0.05495,'material':0.04396,'the fabric':0.01099,'lining':0.01099,'apparel fabric':0.00733,'shell fabric':0.00733,'clothes':0.00733,'face fabric':0.00733}	{'fabric': 1982, 'fabrics': 1916, 'clothes': 504, 'apparel fabric': 204, 'material': 23, 'lining': 20, 'facing material': 0, 'the fabric': 0, 'shell fabric': 0, 'face fabric': 0}	fabric
教学改革	{'教学改革':0.98446,'教学创新':0.01003,'教育改革':0.00551}	{'teaching reform':0.85294,'reform in education':0.06985,'education reform':0.02206,'the teaching reform':0.01838,'teaching innovation':0.01838,'teaching reformation':0.01103,'educational reform':0.00735}	{'teaching reform': 0, 'reform in education': 0, 'education reform': 0, 'the teaching reform': 0, 'teaching innovation': 0, 'teaching reformation': 0, 'educational reform': 0}	teaching reform
成纱质量	{'成纱质量':0.75874,'纱线质量':0.13246,'纺纱质量':0.07174,'纱线品质':0.01078,'纱线性能':0.01078,'细纱质量':0.00809,'质量':0.00668,'品质':0.00073}	{'yarn quality':0.61481,'spinning quality':0.22222,'quality of resultant yarn':0.0963,'quality of yarn':0.02222,'resultant yarn quality':0.00741,'quality':0.00741,'quality of spun yarn':0.00741,'quality of the spun yarn':0.00741,'yarn forming quality':0.00741,'finish yarn quality':0.00741}	{'quality': 422, 'yarn quality': 180, 'spinning quality': 4, 'quality of resultant yarn': 0, 'quality of yarn': 0, 'resultant yarn quality': 0, 'quality of spun yarn': 0, 'quality of the spun yarn': 0, 'yarn forming quality': 0, 'finish yarn quality': 0}	yarn quality
抗菌性能	{'抗菌性能':0.56426,'抗菌性':0.29248,'抗菌':0.05129,'抑菌性能':0.03511,'抗微生物性':0.0221,'抑菌性':0.01794,'抗菌活性':0.00646,'抑菌活性':0.00599,'抑菌率':0.00269,'抑菌':0.00067,'抗菌整理':0.00051,'抗菌剂':0.00051}	{'antibacterial property':0.52652,'antibacterial properties':0.14773,'antimicrobial property':0.07955,'antibacterial performance':0.07197,'anti-bacterial property':0.03788,'antibacterial activity':0.0303,'antimicrobial properties':0.01894,'antibacterial':0.01515,'anti-bacterial properties':0.01136,'anti-bacterial performance':0.01136,'antimicrobial activity':0.01136,'antibiotic activity':0.00758,'antibiotic property':0.00758,'antimicrobial activities':0.00758,'antimicrobial performance':0.00758,'antimicrobial':0.00758}	{'antimicrobial activity': 1337, 'antibacterial': 1330, 'antibacterial properties': 1274, 'antibacterial activity': 1024, 'antimicrobial': 625, 'antimicrobial property': 295, 'antibacterial property': 186, 'anti-bacterial performance': 146, 'antimicrobial properties': 73, 'antibacterial performance': 66, 'antimicrobial performance': 40, 'antimicrobial activities': 29, 'anti-bacterial properties': 9, 'antibiotic activity': 5, 'anti-bacterial property': 4, 'antibiotic property': 3}	antibacterial property
服饰文化	{'服饰文化':0.95309,'服装文化':0.03215,'时尚文化':0.01476}	{'costume culture':0.36882,'clothing culture':0.31939,'dress culture':0.22433,'fashion culture':0.04183,'costumes culture':0.01521,'dressing culture':0.01141,'apparel culture':0.01141,'culture of costume':0.0076}	{'costume culture': 8, 'clothing culture': 7, 'dress culture': 0, 'fashion culture': 0, 'costumes culture': 0, 'dressing culture': 0, 'apparel culture': 0, 'culture of costume': 0}	costume culture
阻燃	{'阻燃':0.61079,'阻燃剂':0.21909,'阻燃性':0.08471,'阻燃性能':0.0763,'阻燃整理':0.0091}	{'flame retardant':0.60755,'flame-retardant':0.12075,'flame retardancy':0.09811,'flame retardance':0.0566,'flame retarding':0.02264,'flame resistance':0.01509,'fire retardant':0.01509,'flame-resistant':0.01132,'retardant':0.00755,'fire resistance':0.00755,'inflaming retarding':0.00755,'flame-retardance':0.00755,'flame resistant':0.00755,'antiflaming':0.00755,'flame retardant property':0.00755}	{'flame retardant': 544, 'flame retardancy': 494, 'flame resistance': 363, 'fire resistance': 195, 'flame-retardance': 66, 'flame-retardant': 63, 'flame retardance': 41, 'fire retardant': 35, 'flame-resistant': 26, 'flame resistant': 7, 'flame retardant property': 5, 'flame retarding': 0, 'retardant': 0, 'inflaming retarding': 0, 'antiflaming': 0}	flame retardant
透气性	{'透气性':0.68939,'透气率':0.0866,'透气性能':0.07362,'透气':0.04939,'透气量':0.03353,'渗透性':0.0214,'渗透率':0.01873,'渗透性能':0.01204,'浸透性':0.00535,'透湿性':0.00535,'渗透':0.00268,'透气式':0.00192}	{'air permeability':0.79615,'permeability':0.12308,'breathability':0.05,'gas permeability':0.01538,'breathable':0.00769,'air permeability properties':0.00769}	{'permeability': 2411, 'gas permeability': 1693, 'air permeability': 821, 'breathability': 135, 'breathable': 20, 'air permeability properties': 0}	air permeability;air perviousness
锦纶	{'锦纶':0.72846,'聚酰胺':0.08473,'聚酰胺纤维':0.08443,'尼龙':0.05506,'锦纶织物':0.02503,'锦纶纤维':0.01215,'尼纶':0.00637,'尼龙织物':0.00234,'聚酰胺织物':0.00143}	{'nylon':0.44569,'polyamide':0.34457,'polyamide fiber':0.09738,'chinlon':0.04494,'nylon fabric':0.01498,'polyamide fibre':0.01498,'polyamide fabric':0.01498,'nylon fiber':0.01124,'nylon fabrics':0.01124}	{'polyamide': 1068, 'nylon': 358, 'nylon fabrics': 59, 'nylon fabric': 57, 'nylon fiber': 40, 'polyamide fiber': 36, 'polyamide fabric': 22, 'chinlon': 0, 'polyamide fibre': 0}	nylon
混纺	{'混纺':0.77538,'共混':0.09507,'混和':0.04243,'混纺纱':0.03741,'共混纺丝':0.01999,'混合':0.0125,'混纺织物':0.01024,'共混物':0.00341,'混纺纱线':0.00265,'混纺交织物':0.00057,'混纺面料':0.00034}	{'blending':0.59108,'blended':0.12639,'blended spinning':0.11524,'blend':0.08178,'blended yarn':0.04089,'blend spinning':0.01115,'blended fabric':0.01115,'mixed spinning':0.01115,'blending spinning':0.01115}	{'blending': 2271, 'blended yarn': 200, 'blend': 139, 'blended fabric': 119, 'blended': 13, 'blended spinning': 5, 'blend spinning': 0, 'mixed spinning': 0, 'blending spinning': 0}	blending
聚氨酯	{'聚氨酯':0.90662,'氨纶':0.09338}	{'polyurethane':0.97048,'pu':0.02952}	{'polyurethane': 550, 'pu': 8}	polyurethane
色彩	{'色彩':0.79795,'颜色':0.15829,'色光':0.02311,'色泽':0.02065}	{'color':0.89963,'colour':0.05948,'colors':0.04089}	{'color': 5462, 'colour': 106, 'colors': 11}	color
废水处理	{'废水处理':0.97064,'污水处理':0.02936}	{'wastewater treatment':0.87452,'waste water treatment':0.11407,'wasterwater treatment':0.01141}	{'wastewater treatment': 5233, 'waste water treatment': 39, 'wasterwater treatment': 0}	wastewater treatment
图像处理	{'图像处理':0.96396,'图像分析':0.02326,'数字图像处理':0.01278}	{'image processing':0.88593,'image analysis':0.03042,'image process':0.03042,'picture treatment':0.02281,'digital image processing':0.01521,'image treatment':0.01521}	{'image analysis': 1088, 'image processing': 674, 'digital image processing': 21, 'image process': 0, 'picture treatment': 0, 'image treatment': 0}	image processing;ip
针织面料	{'针织物':0.6135,'针织面料':0.3716,'针织布':0.0149}	{'knitted fabric':0.79924,'knitted fabrics':0.10985,'knitting fabric':0.07197,'knitting fabrics':0.01894}	{'knitted fabric': 1144, 'knitted fabrics': 164, 'knitting fabric': 15, 'knitting fabrics': 0}	knitted fabric
